domain,intent,text,spans,logical_form,xtreme-up,source_language
travel,translate,which store can I buy food from if I visit Radisson Blu in Mhlanga?,"81:93:SL:HOTEL_NAME,94:102:SL:PLACE_NAME",[IN:translate [SL:HOTEL_NAME Radisson Blu] [SL:PLACE_NAME eMhlanga] ],HOTEL_NAME: Radisson Blu $$ PLACE_NAME: eMhlanga,zul
travel,translate,text Charmaine and tell her to sleep well.,9:18:SL:PERSONAL_NAME,[IN:translate [SL:PERSONAL_NAME Charmaine] ],PERSONAL_NAME: Charmaine,zul
travel,translate,how much is a notebook in the Bluff PNA shopping mall?,57:62:SL:PLACE_NAME,[IN:translate [SL:PLACE_NAME Bluff] ],PLACE_NAME: Bluff,zul
travel,translate,how do you say hello in Tswana?,34:40:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Tswana] ],LANGUAGE_NAME: Tswana,zul
travel,translate,when do you say thank you?,,[IN:translate ],,zul
travel,translate,text my grandma and tell her I love her.,,[IN:translate ],,zul
travel,translate,the importance of showing gratitude?,,[IN:translate ],,zul
travel,translate,who is age-appropriately welcome to attend the northwest music festival on the 27th?,"46:64:SL:CALENDAR_EVENT,88:100:SL:DATE",[IN:translate [SL:CALENDAR_EVENT ifestivali yomculo] [SL:DATE ngomhlaka-27] ],CALENDAR_EVENT: ifestivali yomculo $$ DATE: ngomhlaka-27,zul
travel,translate,Say hello to my uncle and tell him I'll come to see him tomorrow in the hospital.,,[IN:translate ],,zul
travel,translate,how would you greet an older person you meet at a restaurant?,,[IN:translate ],,zul
travel,translate,how can you greet someone younger or older than you respectfully?,,[IN:translate ],,zul
travel,translate,Call my father and ask him to put up money for me to go to school.,,[IN:translate ],,zul
travel,translate,why don't adults always wait for young children to greet them?,,[IN:translate ],,zul
travel,translate,how do you greet someone you do not normally speak to?,,[IN:translate ],,zul
travel,translate,tell Tom that he is not used to greeting people on his way to work.,7:17:SL:PERSONAL_NAME,[IN:translate [SL:PERSONAL_NAME uNontobeko] ],PERSONAL_NAME: uNontobeko,zul
travel,translate,how do you say goodbye to someone you meet at the store after a conversation?,,[IN:translate ],,zul
travel,translate,say goodbye to my cousin with a toast.,,[IN:translate ],,zul
travel,translate,greet my aunt in Sotho and tell her I miss her.,27:32:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Suthu] ],LANGUAGE_NAME: Suthu,zul
travel,translate,what is the easiest language to greet in South Africa?,46:62:SL:COUNTRY,[IN:translate [SL:COUNTRY Ningizimu Afrika] ],COUNTRY: Ningizimu Afrika,zul
travel,translate,Say goodbye to my mother-in-law and tell her I'm going to work.,,[IN:translate ],,zul
travel,translate,how do you greet in English?,24:28:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME zulu] ],LANGUAGE_NAME: zulu,zul
travel,translate,Say hello to my father and tell him I'm flying to the Northern Cape tomorrow for work.,58:72:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE enyakatho Kapa] ],CITY_OR_PROVINCE: enyakatho Kapa,zul
travel,translate,"when you get into a crowded taxi, how do you greet people?",,[IN:translate ],,zul
travel,translate,say goodbye to my little sister and tell her it's time to go to bed because she has to go to school tomorrow.,,[IN:translate ],,zul
travel,translate,"if you want to greet a group of acquaintances, how?",,[IN:translate ],,zul
travel,translate,Say hi to my mom and tell her my school trip is on Friday.,51:61:SL:DATE,[IN:translate [SL:DATE Lwesihlanu] ],DATE: Lwesihlanu,zul
travel,translate,tell my dad I love him because he bought me a plane ticket to KwaZulu-Natal.,80:94:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE KwaZulu-Natali] ],CITY_OR_PROVINCE: KwaZulu-Natali,zul
travel,translate,how hot it will be in Belhar tomorrow morning.,"28:35:SL:PLACE_NAME,42:49:SL:TIME",[IN:translate [SL:PLACE_NAME eBelhar] [SL:TIME ekuseni] ],PLACE_NAME: eBelhar $$ TIME: ekuseni,zul
travel,translate,when will it snow in Cape Town?,19:23:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE Kapa] ],CITY_OR_PROVINCE: Kapa,zul
travel,translate,How much is ten dollars in dollars?,"9:17:SL:CURRENCY,18:26:SL:NUMBER,39:47:SL:CURRENCY",[IN:translate [SL:CURRENCY amarandi] [SL:NUMBER ayishumi] [SL:CURRENCY kumadola] ],CURRENCY: amarandi $$ NUMBER: ayishumi $$ CURRENCY: kumadola,zul
travel,translate,"If I am in a shopping mall in Pretoria, where can I find a small women's house?",33:40:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE ePitoli] ],CITY_OR_PROVINCE: ePitoli,zul
travel,translate,tell my new friend that I'm glad to see him for the first time today.,,[IN:translate ],,zul
travel,translate,how do you greet a Tswana in his own language if he does not know Zulu?,"33:39:SL:LANGUAGE_NAME,69:76:SL:LANGUAGE_NAME",[IN:translate [SL:LANGUAGE_NAME Tswana] [SL:LANGUAGE_NAME IsiZulu] ],LANGUAGE_NAME: Tswana $$ LANGUAGE_NAME: IsiZulu,zul
travel,translate,call my dad and tell him I love him.,,[IN:translate ],,zul
travel,translate,which bar is nearest to me?,,[IN:translate ],,zul
travel,translate,Say goodbye to Emile and tell her I'll call her before tomorrow morning.,12:18:SL:PERSONAL_NAME,[IN:translate [SL:PERSONAL_NAME Emihle] ],PERSONAL_NAME: Emihle,zul
travel,translate,text Nolitha and tell her I'll always love her or she can go on vacation to Cape Town alone.,"19:26:SL:PERSONAL_NAME,91:95:SL:CITY_OR_PROVINCE",[IN:translate [SL:PERSONAL_NAME Nolitha] [SL:CITY_OR_PROVINCE kapa] ],PERSONAL_NAME: Nolitha $$ CITY_OR_PROVINCE: kapa,zul
travel,translate,I'll say hello to my little sister and tell her I'll pick her up for dinner in Nandos at twelve o'clock.,"74:81:SL:RESTAURANT_NAME,82:104:SL:TIME",[IN:translate [SL:RESTAURANT_NAME eNandos] [SL:TIME ngehora leshuminambili] ],RESTAURANT_NAME: eNandos $$ TIME: ngehora leshuminambili,zul
travel,translate,text my brother and say goodbye and we'll talk on Thursday because I'm still in a hurry to go to the ministry.,56:63:SL:DATE,[IN:translate [SL:DATE Lwesine] ],DATE: Lwesine,zul
travel,translate,Where can you pee if you're in the Pinetown mall?,48:56:SL:PLACE_NAME,[IN:translate [SL:PLACE_NAME Pinetown] ],PLACE_NAME: Pinetown,zul
travel,translate,text Nozipho and tell him that we will meet tomorrow on the southern beach at ten o'clock.,"19:26:SL:PERSONAL_NAME,94:109:SL:TIME",[IN:translate [SL:PERSONAL_NAME Nozipho] [SL:TIME ngehora leshumi] ],PERSONAL_NAME: Nozipho $$ TIME: ngehora leshumi,zul
travel,translate,tell my father that I will see him again in the afternoon when I leave school.,35:43:SL:TIME,[IN:translate [SL:TIME ntambama] ],TIME: ntambama,zul
travel,translate,Say hello to grandma and tell her I'm going to Johannesburg tomorrow because I have to represent the school in the Zulu competition.,"31:36:SL:CITY_OR_PROVINCE,96:100:SL:LANGUAGE_NAME",[IN:translate [SL:CITY_OR_PROVINCE eGoli] [SL:LANGUAGE_NAME Zulu] ],CITY_OR_PROVINCE: eGoli $$ LANGUAGE_NAME: Zulu,zul
travel,translate,what is the temperature in Durban?,25:34:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE eThekwini] ],CITY_OR_PROVINCE: eThekwini,zul
travel,translate,put in a fast food app and cancel my order because I have to rush into town.,,[IN:translate ],,zul
travel,translate,what quick dinner can I make if I have the means in thirteen minutes.,"7:24:SL:MEAL_PERIOD,68:95:SL:TIME",[IN:translate [SL:MEAL_PERIOD isidlo sakusihlwa] [SL:TIME ngemizuzu eyishumi nantathu] ],MEAL_PERIOD: isidlo sakusihlwa $$ TIME: ngemizuzu eyishumi nantathu,zul
travel,translate,I'll say goodbye to Tom and tell him I'll text him when I get home from school.,16:23:SL:PERSONAL_NAME,[IN:translate [SL:PERSONAL_NAME Nomzamo] ],PERSONAL_NAME: Nomzamo,zul
travel,translate,Send him a message and tell him thank you for the money he sent me for the weaving. I'll go tomorrow morning.,90:104:SL:DATE,[IN:translate [SL:DATE ksasa ekusweni] ],DATE: ksasa ekusweni,zul
travel,translate,How much is the flight from the east of the colony to Limpopo?,"24:41:SL:CITY_OR_PROVINCE,47:54:SL:CITY_OR_PROVINCE",[IN:translate [SL:CITY_OR_PROVINCE mpumalanga koloni] [SL:CITY_OR_PROVINCE Limpopo] ],CITY_OR_PROVINCE: mpumalanga koloni $$ CITY_OR_PROVINCE: Limpopo,zul
travel,translate,how do you cook pasta if you want to add flavor?,2:7:SL:DISH_OR_FOOD,[IN:translate [SL:DISH_OR_FOOD pasta] ],DISH_OR_FOOD: pasta,zul
travel,translate,which store sells butter for baking?,25:33:SL:DISH_OR_FOOD,[IN:translate [SL:DISH_OR_FOOD ibhotela] ],DISH_OR_FOOD: ibhotela,zul
travel,translate,how can you run faster if you are a quick - fatigued worker who likes to exercise?,,[IN:translate ],,zul
travel,translate,where can I find the tallest tree species?,,[IN:translate ],,zul
travel,translate,Ask Nobuhle where she bought her amazing dress she wore to school yesterday?,"7:14:SL:PERSONAL_NAME,31:37:SL:SHOPPING_ITEM,68:73:SL:DATE",[IN:translate [SL:PERSONAL_NAME Nobuhle] [SL:SHOPPING_ITEM ingubo] [SL:DATE izolo] ],PERSONAL_NAME: Nobuhle $$ SHOPPING_ITEM: ingubo $$ DATE: izolo,zul
travel,translate,what ingredients are needed to prepare takkos?,32:42:SL:DISH_OR_FOOD,[IN:translate [SL:DISH_OR_FOOD amathakhos] ],DISH_OR_FOOD: amathakhos,zul
travel,translate,how much is the ferry from Durban to Cape Town?,"37:46:SL:CITY_OR_PROVINCE,51:56:SL:CITY_OR_PROVINCE",[IN:translate [SL:CITY_OR_PROVINCE eThekwini] [SL:CITY_OR_PROVINCE eKapa] ],CITY_OR_PROVINCE: eThekwini $$ CITY_OR_PROVINCE: eKapa,zul
travel,translate,how are potatoes cooked into a spicy stew?,"16:26:SL:DISH_OR_FOOD,35:44:SL:DISH_OR_FOOD",[IN:translate [SL:DISH_OR_FOOD amazambane] [SL:DISH_OR_FOOD isitshulu] ],DISH_OR_FOOD: amazambane $$ DISH_OR_FOOD: isitshulu,zul
travel,translate,how far back should the grass be cut?,,[IN:translate ],,zul
travel,translate,Please write a message to my uncle to tell him that I have been well to the colony.,70:82:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE empumakoloni] ],CITY_OR_PROVINCE: empumakoloni,zul
travel,translate,tell my sister it was nice to meet her as usual.,,[IN:translate ],,zul
travel,translate,tell the convention director that I need to be released.,,[IN:translate ],,zul
travel,translate,please excuse me Tyler for leaving his party early because of the weather.,23:28:SL:PERSONAL_NAME,[IN:translate [SL:PERSONAL_NAME Tyler] ],PERSONAL_NAME: Tyler,zul
travel,translate,I thanked Mandisi for the gift he sent me by mail even though I had moved to Mpumalanga.,"11:20:SL:PERSONAL_NAME,69:80:SL:CITY_OR_PROVINCE",[IN:translate [SL:PERSONAL_NAME kuMandisi] [SL:CITY_OR_PROVINCE eMpumalanga] ],PERSONAL_NAME: kuMandisi $$ CITY_OR_PROVINCE: eMpumalanga,zul
travel,translate,how do you ask someone you meet for the first time his or her name?,,[IN:translate ],,zul
banking,transfer,transfer $500 from your checking account to my savings account.,"10:14:SL:MONEY,25:42:SL:ACCOUNT_TYPE,55:77:SL:ACCOUNT_TYPE",[IN:transfer [SL:MONEY R500] [SL:ACCOUNT_TYPE akhawunti yamanje] [SL:ACCOUNT_TYPE akhawunti yami yokonga] ],MONEY: R500 $$ ACCOUNT_TYPE: akhawunti yamanje $$ ACCOUNT_TYPE: akhawunti yami yokonga,zul
banking,transfer,transfer the $400 to Charmaine.,"11:20:SL:PERSONAL_NAME,35:40:SL:MONEY",[IN:transfer [SL:PERSONAL_NAME Charmaine] [SL:MONEY R4000] ],PERSONAL_NAME: Charmaine $$ MONEY: R4000,zul
banking,transfer,How do you transfer money from the FNB bank to the Nedbank bank?,"40:43:SL:BANK_NAME,67:74:SL:BANK_NAME",[IN:transfer [SL:BANK_NAME FNB] [SL:BANK_NAME Nedbank] ],BANK_NAME: FNB $$ BANK_NAME: Nedbank,zul
banking,transfer,transfer $700 from my savings account to my current account.,"20:24:SL:MONEY,29:51:SL:ACCOUNT_TYPE,64:81:SL:ACCOUNT_TYPE",[IN:transfer [SL:MONEY R700] [SL:ACCOUNT_TYPE akhawunti yami yokonga] [SL:ACCOUNT_TYPE akhawunti yamanje] ],MONEY: R700 $$ ACCOUNT_TYPE: akhawunti yami yokonga $$ ACCOUNT_TYPE: akhawunti yamanje,zul
banking,transfer,how would you transfer money to someone who doesn't use the same bank as you?,,[IN:transfer ],,zul
banking,transfer,tell grandpa I sent him money to buy food.,,[IN:transfer ],,zul
banking,transfer,send the sum of R1000 to my personal account.,22:27:SL:MONEY,[IN:transfer [SL:MONEY R1000] ],MONEY: R1000,zul
banking,transfer,how to send money to a store abroad?,,[IN:transfer ],,zul
banking,transfer,Please transfer the sum of R7000 to the school account.,"33:38:SL:MONEY,43:61:SL:BILL_TYPE",[IN:transfer [SL:MONEY R7000] [SL:BILL_TYPE akhawunti yesikole] ],MONEY: R7000 $$ BILL_TYPE: akhawunti yesikole,zul
banking,transfer,text Mela and ask her for her bank details because I want to transfer money to her.,9:13:SL:PERSONAL_NAME,[IN:transfer [SL:PERSONAL_NAME Mela] ],PERSONAL_NAME: Mela,zul
banking,transfer,"transfer $7,000 to my ABSA account and transfer it to my FNB account to pay off Rage's debt.","11:16:SL:MONEY,42:46:SL:BANK_NAME,80:83:SL:BANK_NAME,103:112:SL:BILL_TYPE",[IN:transfer [SL:MONEY R7000] [SL:BANK_NAME ABSA] [SL:BANK_NAME FNB] [SL:BILL_TYPE saka Rage] ],MONEY: R7000 $$ BANK_NAME: ABSA $$ BANK_NAME: FNB $$ BILL_TYPE: saka Rage,zul
banking,transfer,how to increase your withdrawal limit using a banking app.,,[IN:transfer ],,zul
banking,transfer,how much does it cost to transfer money overnight to a bank's operating system?,,[IN:transfer ],,zul
banking,transfer,transferring money first to the FNB banking system?,62:65:SL:BANK_NAME,[IN:transfer [SL:BANK_NAME FNB] ],BANK_NAME: FNB,zul
banking,transfer,how do you transfer money through online banking?,,[IN:transfer ],,zul
banking,transfer,transfer money using your phone?,,[IN:transfer ],,zul
banking,transfer,what information is required if you want to send money to someone using a wire transfer system?,,[IN:transfer ],,zul
banking,transfer,Send money to Nosibusiso for R850 to buy clothes.,"16:26:SL:PERSONAL_NAME,31:35:SL:MONEY,46:65:SL:SHOPPING_ITEM",[IN:transfer [SL:PERSONAL_NAME Nosibusiso] [SL:MONEY R850] [SL:SHOPPING_ITEM izimpahla zokugqoka] ],PERSONAL_NAME: Nosibusiso $$ MONEY: R850 $$ SHOPPING_ITEM: izimpahla zokugqoka,zul
banking,transfer,if you send money on Saturday will you get it on Monday or on Saturday?,"31:39:SL:DATE,65:75:SL:DATE",[IN:transfer [SL:DATE Mgqibelo] [SL:DATE Msombuluko] ],DATE: Mgqibelo $$ DATE: Msombuluko,zul
banking,transfer,send money twice to the Information now.,"14:20:SL:NUMBER,23:30:SL:PERSONAL_NAME",[IN:transfer [SL:NUMBER kabili] [SL:PERSONAL_NAME Nolwazi] ],NUMBER: kabili $$ PERSONAL_NAME: Nolwazi,zul
banking,transfer,how many times a day would you send money to someone?,,[IN:transfer ],,zul
banking,transfer,Send my sister $500 to her savings account.,"29:34:SL:MONEY,39:68:SL:ACCOUNT_TYPE",[IN:transfer [SL:MONEY R1500] [SL:ACCOUNT_TYPE akhawunti yakhe yokonga imali] ],MONEY: R1500 $$ ACCOUNT_TYPE: akhawunti yakhe yokonga imali,zul
banking,transfer,how to transfer money from your checking account to your savings account?,"55:62:SL:ACCOUNT_TYPE,86:93:SL:ACCOUNT_TYPE",[IN:transfer [SL:ACCOUNT_TYPE yesheke] [SL:ACCOUNT_TYPE yokonga] ],ACCOUNT_TYPE: yesheke $$ ACCOUNT_TYPE: yokonga,zul
banking,transfer,how do you transfer all the money from one savings account to another?,33:50:SL:ACCOUNT_TYPE,[IN:transfer [SL:ACCOUNT_TYPE akhawunti yokonga] ],ACCOUNT_TYPE: akhawunti yokonga,zul
banking,transfer,How much money is left in my paypal account?,38:44:SL:PAYMENT_COMPANY,[IN:transfer [SL:PAYMENT_COMPANY paypal] ],PAYMENT_COMPANY: paypal,zul
banking,transfer,what is the fastest way to send money?,,[IN:transfer ],,zul
banking,transfer,Tell my mom to send me money to my savings account.,35:57:SL:ACCOUNT_TYPE,[IN:transfer [SL:ACCOUNT_TYPE akhawunti yami yokonga] ],ACCOUNT_TYPE: akhawunti yami yokonga,zul
banking,transfer,how to send money fast?,,[IN:transfer ],,zul
banking,transfer,Please provide the necessary information if you want to open a FNB bank account.,85:88:SL:BANK_NAME,[IN:transfer [SL:BANK_NAME FNB] ],BANK_NAME: FNB,zul
banking,transfer,when does the bank open so you can go to the bank ?,,[IN:transfer ],,zul
banking,transfer,can you send money if you're seventeen?,43:62:SL:NUMBER,[IN:transfer [SL:NUMBER ishumi nesikhombisa] ],NUMBER: ishumi nesikhombisa,zul
banking,transfer,Do you need an ID to send money?,,[IN:transfer ],,zul
banking,transfer,how do you send money if you use the Internet?,,[IN:transfer ],,zul
banking,transfer,Please check that I have money left in my Nedbank account.,67:74:SL:BANK_NAME,[IN:transfer [SL:BANK_NAME Nedbank] ],BANK_NAME: Nedbank,zul
banking,transfer,Send Grandma and ask her if there's any money left in her Capitec account.,73:80:SL:BANK_NAME,[IN:transfer [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,zul
banking,transfer,how much does it cost to transfer money from one account to another in a day?,,[IN:transfer ],,zul
banking,transfer,how long does it take to receive a transfer?,,[IN:transfer ],,zul
banking,transfer,"Tell Grandma not to send me money today because I owe the bank, it will sink if she deposits it.",,[IN:transfer ],,zul
banking,transfer,how do you send money to someone who does not have an account with you through another bank?,,[IN:transfer ],,zul
banking,transfer,please write a message to my dad and tell him not to forget to put money in my savings account.,83:105:SL:ACCOUNT_TYPE,[IN:transfer [SL:ACCOUNT_TYPE akhawunti yami yokonga] ],ACCOUNT_TYPE: akhawunti yami yokonga,zul
banking,transfer,What if I could send my mom $200 from my savings account with no money left over?,"24:52:SL:MONEY,63:85:SL:ACCOUNT_TYPE",[IN:transfer [SL:MONEY amarandi angamakhulu amabili] [SL:ACCOUNT_TYPE akhawunti yami yokonga] ],MONEY: amarandi angamakhulu amabili $$ ACCOUNT_TYPE: akhawunti yami yokonga,zul
banking,transfer,How much do I owe the bank on my ABSA account?,53:57:SL:BANK_NAME,[IN:transfer [SL:BANK_NAME ABSA] ],BANK_NAME: ABSA,zul
banking,transfer,How can I send money to someone if I want to withdraw from the Shoprite store?,,[IN:transfer ],,zul
banking,transfer,send $50 to Clifton to come and fix the leaking faucet.,"22:26:SL:MONEY,29:36:SL:PERSONAL_NAME",[IN:transfer [SL:MONEY R670] [SL:PERSONAL_NAME Clifton] ],MONEY: R670 $$ PERSONAL_NAME: Clifton,zul
banking,transfer,what other way can you send money besides using a mobile phone?,,[IN:transfer ],,zul
banking,transfer,transfer R10000 to my FNB account and transfer it to my ABSA account.,"9:15:SL:MONEY,40:43:SL:BANK_NAME,77:81:SL:BANK_NAME",[IN:transfer [SL:MONEY R10000] [SL:BANK_NAME FNB] [SL:BANK_NAME ABSA] ],MONEY: R10000 $$ BANK_NAME: FNB $$ BANK_NAME: ABSA,zul
banking,transfer,text my grandmother and tell her I sent her $900 for a coat.,"56:60:SL:MONEY,61:68:SL:SHOPPING_ITEM",[IN:transfer [SL:MONEY R900] [SL:SHOPPING_ITEM wengubo] ],MONEY: R900 $$ SHOPPING_ITEM: wengubo,zul
banking,transfer,send Nozipho $2500 for the hair I buy from him to his Standard bank account.,"9:16:SL:PERSONAL_NAME,18:23:SL:MONEY,93:101:SL:BANK_NAME",[IN:transfer [SL:PERSONAL_NAME Nozipho] [SL:MONEY R2500] [SL:BANK_NAME Standard] ],PERSONAL_NAME: Nozipho $$ MONEY: R2500 $$ BANK_NAME: Standard,zul
banking,transfer,The money I sent to my friends last week from my Old Mutual account?,"36:53:SL:DATE,79:89:SL:PAYMENT_COMPANY",[IN:transfer [SL:DATE ngesonto elidlule] [SL:PAYMENT_COMPANY Old Mutual] ],DATE: ngesonto elidlule $$ PAYMENT_COMPANY: Old Mutual,zul
banking,transfer,I would like to send R1278 to FlySafair to buy a ticket for a flight from Cape Town to KwaZulu-Natal.,"12:17:SL:MONEY,77:82:SL:CITY_OR_PROVINCE,88:102:SL:CITY_OR_PROVINCE",[IN:transfer [SL:MONEY R1278] [SL:CITY_OR_PROVINCE eKapa] [SL:CITY_OR_PROVINCE KwaZulu-Natali] ],MONEY: R1278 $$ CITY_OR_PROVINCE: eKapa $$ CITY_OR_PROVINCE: KwaZulu-Natali,zul
banking,transfer,how many times did i send money to my sister in the last month?,,[IN:transfer ],,zul
banking,transfer,"When I sent my grandmother money, how much did the bank take?",,[IN:transfer ],,zul
banking,transfer,How much did you send me on Friday?,"19:28:SL:PERSONAL_NAME,29:41:SL:DATE",[IN:transfer [SL:PERSONAL_NAME uLibongwe] [SL:DATE ngolesihlanu] ],PERSONAL_NAME: uLibongwe $$ DATE: ngolesihlanu,zul
banking,transfer,I'm sending $700 to my palms.,11:16:SL:MONEY,[IN:transfer [SL:MONEY uR700] ],MONEY: uR700,zul
banking,transfer,after buying a plane ticket how much is left on my Capitec card?,71:78:SL:BANK_NAME,[IN:transfer [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,zul
banking,transfer,"text Nokuzola and tell him I sent him $500, he gives you $200 and he takes $300.","9:17:SL:PERSONAL_NAME,52:56:SL:MONEY,75:79:SL:MONEY,99:103:SL:MONEY",[IN:transfer [SL:PERSONAL_NAME Nokuzola] [SL:MONEY R500] [SL:MONEY R200] [SL:MONEY R300] ],PERSONAL_NAME: Nokuzola $$ MONEY: R500 $$ MONEY: R200 $$ MONEY: R300,zul
banking,transfer,transfer $500 to my savings account and put it into my current account.,"9:13:SL:MONEY,18:40:SL:ACCOUNT_TYPE,53:75:SL:ACCOUNT_TYPE",[IN:transfer [SL:MONEY R500] [SL:ACCOUNT_TYPE akhawunti yami yokonga] [SL:ACCOUNT_TYPE akhawunti yami yamanje] ],MONEY: R500 $$ ACCOUNT_TYPE: akhawunti yami yokonga $$ ACCOUNT_TYPE: akhawunti yami yamanje,zul
banking,transfer,how do you send money to a bank using a machine?,,[IN:transfer ],,zul
banking,transfer,text the Magnificent to pay for a $1200 cake.,"9:17:SL:PERSONAL_NAME,28:33:SL:MONEY,47:54:SL:DISH_OR_FOOD",[IN:transfer [SL:PERSONAL_NAME Minenhle] [SL:MONEY R1200] [SL:DISH_OR_FOOD ikhekhe] ],PERSONAL_NAME: Minenhle $$ MONEY: R1200 $$ DISH_OR_FOOD: ikhekhe,zul
banking,transfer,send a message to Nadeli and ask her if she received the money I sent her as a gift?,19:25:SL:PERSONAL_NAME,[IN:transfer [SL:PERSONAL_NAME Naledi] ],PERSONAL_NAME: Naledi,zul
banking,transfer,I sent the school money to UWC on March 25th?,"28:31:SL:PLACE_NAME,43:53:SL:DATE",[IN:transfer [SL:PLACE_NAME UWC] [SL:DATE 25 kuNdasa] ],PLACE_NAME: UWC $$ DATE: 25 kuNdasa,zul
banking,transfer,I would like to send a donation of $200 to Ziyanda Mabaso.,"27:31:SL:MONEY,34:48:SL:PERSONAL_NAME",[IN:transfer [SL:MONEY R350] [SL:PERSONAL_NAME Ziyanda Mabaso] ],MONEY: R350 $$ PERSONAL_NAME: Ziyanda Mabaso,zul
banking,transfer,Send $500 to another credit account.,9:13:SL:MONEY,[IN:transfer [SL:MONEY R500] ],MONEY: R500,zul
banking,transfer,I'll text my dad and tell him I'll send him the money tomorrow afternoon when I'm paid.,62:76:SL:DATE,[IN:transfer [SL:DATE ksasa ntambama] ],DATE: ksasa ntambama,zul
banking,transfer,Send $700 to my savings account.,"18:22:SL:MONEY,27:49:SL:ACCOUNT_TYPE",[IN:transfer [SL:MONEY R700] [SL:ACCOUNT_TYPE akhawunti yami yokonga] ],MONEY: R700 $$ ACCOUNT_TYPE: akhawunti yami yokonga,zul
