domain,intent,raw,text,language,spans,logical_form
kitchen_and_dining,restaurant_suggestion,በሃረር በሚኖረኝ ቆይታ ጥሩ ምስር ወጥ የማገኝበትን ምግብ ቤት ልትጠቁመኝ ትችላለህ?,Can you suggest a restaurant where I can get good misir wot while I am in Harar?,amh,"50:59:SL:DISH_OR_FOOD,74:79:SL:CITY_OR_PROVINCE",[IN:restaurant_suggestion [SL:DISH_OR_FOOD misir wot] [SL:CITY_OR_PROVINCE Harar] ]
banking,pay_bill,የኤሌክትሪክ ሒሳቤን መክፈል እፈልጋለሁ,I want to pay my electricity bill,amh,17:33:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE electricity bill] ]
banking,spending_history,ባሳለፍነው ወር የባሌ ተራራዎችን ለመጎብኘት  ምን ያህል ብር አውጥቻለው?,How much money did I spend on visiting Bale mountains last month?,amh,"39:53:SL:PLACE_NAME,54:64:SL:DATE",[IN:spending_history [SL:PLACE_NAME Bale mountains] [SL:DATE last month] ]
travel,travel_suggestion,በባህር ዳር በሚኖረኝ ጉብኝት ምን ማየት እንዳለብኝ ልትጠቁመኝ ትችላለህ?,Can you point me to what I should see on my visit to the Bahirdar?,amh,57:65:SL:CITY_OR_PROVINCE,[IN:travel_suggestion [SL:CITY_OR_PROVINCE Bahirdar] ]
travel,travel_notification,ከሚቀጥለው ሰኞ ጀምሮ ሁለት ሳምንት ለመቆየት ወደትግራይ እጓዛለው,"Next Monday, I'll be heading to Tigray for two weeks",amh,"0:11:SL:DATE,32:38:SL:CITY_OR_PROVINCE,43:52:SL:DATE",[IN:travel_notification [SL:DATE Next Monday] [SL:CITY_OR_PROVINCE Tigray] [SL:DATE two weeks] ]
kitchen_and_dining,food_last,እንጀራ ለምን ያህል ጊዜ ሳይሻግት መቆየት ይችላል?,How long can injera stay with out mould?,amh,13:19:SL:DISH_OR_FOOD,[IN:food_last [SL:DISH_OR_FOOD injera] ]
kitchen_and_dining,cook_time,እንጀራ ለማዘጋጀት ስንት ቀን ይፈጃል?,How many days does it take to prepare enjera?,amh,38:44:SL:DISH_OR_FOOD,[IN:cook_time [SL:DISH_OR_FOOD enjera] ]
utility,make_call,አቶ ከበደ ጋር ልትደውልልኝ ትችላለህ?,Can you call Mr. Kebede for me?,amh,17:23:SL:PERSONAL_NAME,[IN:make_call [SL:PERSONAL_NAME Kebede] ]
utility,alarm,ነገ በጠዋት 12:00 ሰአት ቤተ-ክርስቲያን ስለምንሄድ በጠዋት ቀስቅሺኝ,Wake me up early at 6:00 AM because we are going to Church in the morning,amh,"20:27:SL:TIME,66:73:SL:TIME",[IN:alarm [SL:TIME 6:00 AM] [SL:TIME morning] ]
kitchen_and_dining,restaurant_reviews,አዝመራ ሽሮ ብዙ ሰው ይወደዋል አይደል?,do many people love Azmera Shiro?,amh,20:32:SL:RESTAURANT_NAME,[IN:restaurant_reviews [SL:RESTAURANT_NAME Azmera Shiro] ]
travel,plug_type,ኡጋንዳ ውስጥ የአሜሪካን ሶኬት መሰኪያ ማግኘት እችላለሁ?,Can I get American plug in Uganda?,amh,27:33:SL:COUNTRY,[IN:plug_type [SL:COUNTRY Uganda] ]
travel,exchange_rate,አንድ ዶላር በኢትዮጵያ ብር ምን ያህል ዋጋ አለው?,"how much is a dollar worth in Ethiopian Birr?""",amh,"14:20:SL:CURRENCY,30:44:SL:CURRENCY",[IN:exchange_rate [SL:CURRENCY dollar] [SL:CURRENCY Ethiopian Birr] ]
banking,pin_change,የኢትዮጵያ ንግድ ባንክ ሞባይል መተግበሪያ የይለፍ ቃሌን እንዴት ነው መቀየር ምችለው?,How do I change my Ethiopian Commercial Bank mobile app password?,amh,29:44:SL:BANK_NAME,[IN:pin_change [SL:BANK_NAME Commercial Bank] ]
kitchen_and_dining,ingredients_list,ጭኮ ለመስራት የሚያስፈልጉ ግብአቶች ምን ምን ናቸው?,What are the ingredients needed to make chiko?,amh,40:45:SL:DISH_OR_FOOD,[IN:ingredients_list [SL:DISH_OR_FOOD chiko] ]
travel,book_hotel,ጥቅምት 24 በላሊበላ ሆቴል ቪአይፒ ክፍል መያዝ ፈልጌ ነበር,"On October 24, I wanted to book a VIP room at the Lalibela Hotel",amh,"3:13:SL:DATE,50:64:SL:HOTEL_NAME",[IN:book_hotel [SL:DATE October 24] [SL:HOTEL_NAME Lalibela Hotel] ]
utility,weather,ደብረ-ብርሀን መስከረም ውስጥ ቀዝቃዛ ነው እንዴ?,Is debere-berhan cold in septamber?,amh,"3:16:SL:CITY_OR_PROVINCE,25:34:SL:DATE",[IN:weather [SL:CITY_OR_PROVINCE debere-berhan] [SL:DATE septamber] ]
banking,min_payment,ለአገልግሎት ክፍያ ዝቅተኛ የከፈልኩት ምንድን ነው?,What did I pay the lowest for service fee?,amh,30:41:SL:BILL_TYPE,[IN:min_payment [SL:BILL_TYPE service fee] ]
travel,international_visa,ኢትዮጲያ ውስጥ ክልሎችን ለመጎብኘት አለም-አቀፍ ቪሳ ያስፈልገኛል እንዴ?,Do I need an international visa to visit regions in Ethiopia?,amh,52:60:SL:COUNTRY,[IN:international_visa [SL:COUNTRY Ethiopia] ]
banking,interest_rate,ቡና ባንክ ባለው አካውንቴ ውስጥ ያገኘሁትን የወለድ መጠን ማወቅ እችላለው?,Can I find out the amount of interest I got in my buna bank account?,amh,50:59:SL:BANK_NAME,[IN:interest_rate [SL:BANK_NAME buna bank] ]
travel,book_flight,መጋቢት 10 ከድሬ-ደዋ ወደ አዲስ-አበባ ለመመለስ በረራ በቅናሽ እንዳገኝ አስቀድሜ ቦታ መያዝ ይኖርብኝ ይሆን?,Do I need to make a reservation in advance to get a discounted for return flight from Dire-Dewa to Addis Ababa on March 10?,amh,"86:95:SL:CITY_OR_PROVINCE,99:110:SL:CITY_OR_PROVINCE,114:122:SL:DATE",[IN:book_flight [SL:CITY_OR_PROVINCE Dire-Dewa] [SL:CITY_OR_PROVINCE Addis Ababa] [SL:DATE March 10] ]
utility,text,ለፋሲካ በአል እናታችን ምን እነድንገዛ እንደምትፈልግ ለመጠየቅ የጽሁፍ መልዕክት ላክላት?,Text mom to ask what she wants to buy for the Easter holiday?,amh,46:60:SL:CALENDAR_EVENT,[IN:text [SL:CALENDAR_EVENT Easter holiday] ]
banking,bill_balance,የውሃ እና ኤሌክትሪክ ወርሃዊ ክፍያ መክፈል ያለብኝ ስንት ነው?,How much do I have to pay the monthly fee for water and electricity?,amh,"30:41:SL:BILL_TYPE,46:51:SL:BILL_TYPE,56:67:SL:BILL_TYPE",[IN:bill_balance [SL:BILL_TYPE monthly fee] [SL:BILL_TYPE water] [SL:BILL_TYPE electricity] ]
utility,share_location,ያረፍኩበትን ሆቴል አድራሻ ለጠበቃዬ እባክህ ላክለት,Please send the address of the hotel where I was staying to my lawyer,amh,,[IN:share_location ]
home,play_music,እባክሽ የጥላሁን ገሰሰን የድሮ ዘፈን ልትከፍቺልኝ ትቺያለሽ?,Would you please open Tilahune gesese's old song for me?,amh,22:37:SL:ARTIST_NAME,[IN:play_music [SL:ARTIST_NAME Tilahune gesese] ]
home,calendar_update,የበረራ ቀኔን የጊዜ ሰሌዳዬ ላይ መዝግብልኝ,Mark my flight date on my calendar.,amh,8:19:SL:CALENDAR_EVENT,[IN:calendar_update [SL:CALENDAR_EVENT flight date] ]
home,update_playlist,የተከስተ ጌትነት አዲሱን አልበም በየቀኑ ከምሰማቸው የመዝሙር ዝርዝሮች ውስጥ ጨምርልኝ,Add the new album of Tekeset Getnet to the list of songs i listen to every day.,amh,21:35:SL:ARTIST_NAME,[IN:update_playlist [SL:ARTIST_NAME Tekeset Getnet] ]
kitchen_and_dining,cancel_reservation,ስብሰባው ስለተሰረዘ ይዤ የነበርውን የስብሰባ አዳራሽ እባክህ አጥፋልኝ,"The meeting was canceled, so please remove my reservation for the meeting hall.",amh,,[IN:cancel_reservation ]
travel,car_rental,ከሚያዚያ 13 እስከ 19 ወደኮንቦልቻ ለምናደርገው ጉዞ ምቾት ያለው ባስ አስቀድመን መከራየት ይኖርብናል,We need to rent a comfortable bus in advance for our trip to konbolcha from April 13 to 19.,amh,"61:70:SL:CITY_OR_PROVINCE,71:90:SL:DATE",[IN:car_rental [SL:CITY_OR_PROVINCE konbolcha] [SL:DATE from April 13 to 19] ]
kitchen_and_dining,meal_suggestion,ለቁርስ የሚሆን የጉራጌ ምግብ ጠቁመኝ,Suggest me gurage food for breakfast,amh,"11:17:SL:CITY_OR_PROVINCE,27:36:SL:MEAL_PERIOD",[IN:meal_suggestion [SL:CITY_OR_PROVINCE gurage] [SL:MEAL_PERIOD breakfast] ]
kitchen_and_dining,recipe,ገንፎ ለመስራት የሚያስፈልጉ ግብአቶች ምን ምን ናቸው?,What are the ingredients needed to make genfo?,amh,40:45:SL:DISH_OR_FOOD,[IN:recipe [SL:DISH_OR_FOOD genfo] ]
travel,translate,ወደ ቻይንኛ 'እወድሻለሁ' የሚለውን ትርጉም ማቅረብ ትችላለህ?,can you provide the translation of 'I love you' into Chinese?,amh,53:60:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Chinese] ]
banking,transfer,500 ብር ከእኔ ንግድ ባንክ ወደ እናቴ አቢሲኒያ ባንክ ማስተላለፍ ትችላለህ?,can you transfer of 500 Birr from my CBE to my mother's Abyssinia Bank?,amh,"20:28:SL:MONEY,37:40:SL:BANK_NAME,56:70:SL:BANK_NAME",[IN:transfer [SL:MONEY 500 Birr] [SL:BANK_NAME CBE] [SL:BANK_NAME Abyssinia Bank] ]
utility,time,አሁን በኢትዮጵያ የምሳ ሰዓት መሆኑን ማረጋገጥ ትችላለህ?,can you check if it's lunchtime in ethiopia right now?,amh,"22:31:SL:MEAL_PERIOD,35:43:SL:COUNTRY",[IN:time [SL:MEAL_PERIOD lunchtime] [SL:COUNTRY ethiopia] ]
home,shopping_list_update,አሁን ባለው የግዢ ዝርዝሬ ላይ እንጄራ ማከል ትችላለህ,could you add injera to my current shopping list,amh,14:20:SL:DISH_OR_FOOD,[IN:shopping_list_update [SL:DISH_OR_FOOD injera] ]
kitchen_and_dining,restaurant_reservation,እባክዎን ነገ ከሰአት በኋላ በጣይቱ ሬስቶራንት የቪአይፒ ጠረጴዛ አሲዝ,please reserve a VIP table at Taitu Restaurant for tomorrow afternoon,amh,"30:46:SL:RESTAURANT_NAME,51:69:SL:DATE",[IN:restaurant_reservation [SL:RESTAURANT_NAME Taitu Restaurant] [SL:DATE tomorrow afternoon] ]
banking,balance,እባካችሁ የዳሽን ባንክ ሂሳቤን ታረጋግጡልኛላችሁ?,can you please check my dasion bank account,amh,24:35:SL:BANK_NAME,[IN:balance [SL:BANK_NAME dasion bank] ]
kitchen_and_dining,confirm_reservation,በጣይቱ ሆቴል ለበረከት ያደረግኩት የቪአይፒ ቦታ አሁንም ልክ መሆኑን ማረጋገጥ ትችላለህ,can you check and ensure that my vip reservation at tayetu Hotel for Bereket is still valid,amh,"52:64:SL:HOTEL_NAME,69:76:SL:PERSONAL_NAME",[IN:confirm_reservation [SL:HOTEL_NAME tayetu Hotel] [SL:PERSONAL_NAME Bereket] ]
banking,freeze_account,ሁሉንም ግብይቶቸን ከኢትዮጵያ ንግድ ባንኬ ማቆም ትችላለህ,Can you stop all transactions to my CBE account?,amh,36:39:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME CBE] ]
travel,timezone,የኬኒያን የጊዜ ቀጣና መረጃ መስጠት ትችላለህ?,Can you provide the time zone information for Kenya?,amh,46:51:SL:COUNTRY,[IN:timezone [SL:COUNTRY Kenya] ]
banking,transactions,ክፍያ ከመፈጸሜ በፊት የቅርብ ጊዜ የቴሌብር ግብይቶችን ዝርዝር ልትነግረኝ ትችላለህ?,Could you tell me the list of my recent telebirr transactions before I make a payment?,amh,40:48:SL:PAYMENT_COMPANY,[IN:transactions [SL:PAYMENT_COMPANY telebirr] ]
kitchen_and_dining,restaurant_suggestion,ምሳ የምበላበት ምርጥ የኢትዮጵያ ሬስቶራንት ልትጠቁሙኝ ትችላላችሁ?,Can you suggest best ethiopian restaurant for me to eat lunch?,amh,56:61:SL:MEAL_PERIOD,[IN:restaurant_suggestion [SL:MEAL_PERIOD lunch] ]
banking,pay_bill,ለልጆቼ ትምህርት ቤት ክፍያ በአቢሲኒያ ባንክ መክፈል ስለምፈልግ በክፍያ ሂደቱ ውስጥ ልትመራኝ ትችላለህ?,i want pay my childeren school pay in Abyssinia bank. Can you guide me through the payment process?,amh,"24:34:SL:BILL_TYPE,38:52:SL:BANK_NAME",[IN:pay_bill [SL:BILL_TYPE school pay] [SL:BANK_NAME Abyssinia bank] ]
banking,spending_history,ከኢትዮጵያ ንግድ ባንክ መተግበሪያ ላይ የወጪ ታሪኬን ልታቀርብልኝ ትችላለህ?,can you provide me with my spending history from the CBE banking app?,amh,53:56:SL:BANK_NAME,[IN:spending_history [SL:BANK_NAME CBE] ]
travel,travel_suggestion,ለቀጣይ የጉብኝት ጉዞዬ በሀዋሳ እና በአርባ ምንጭ መካከል እንድመርጥ በእያንዳንዱ ቦታ ያሉት ልዩ መስህቦች ምንድን ናቸው?,help me decide between Hawassa and Arbaminch for my upcoming trip. What are the unique attractions in each location?,amh,"23:30:SL:CITY_OR_PROVINCE,35:44:SL:CITY_OR_PROVINCE",[IN:travel_suggestion [SL:CITY_OR_PROVINCE Hawassa] [SL:CITY_OR_PROVINCE Arbaminch] ]
travel,travel_notification,ከመስከረም 1 እስከ መስከረም 10 ድረስ ሀዋሳ ስለሆንኩ እባክህ እናቴ ስለ ጉዞዬ እንድታውቅ ማሳወቂያ ፍጠር።,Please create a notification to let my mom know about my trip. I'll be in Hawassa from September 1 to September 10,amh,"74:81:SL:CITY_OR_PROVINCE,82:114:SL:DATE",[IN:travel_notification [SL:CITY_OR_PROVINCE Hawassa] [SL:DATE from September 1 to September 10] ]
kitchen_and_dining,food_last,ዶሮ ወጥን በማቀዝቀዣ ውስጥ ሳይበላሽ ለስንት ቀናት ማስቀመጥ ይቻላል?,How many days is it safe to store Chicken stew in the fridge?,amh,34:46:SL:DISH_OR_FOOD,[IN:food_last [SL:DISH_OR_FOOD Chicken stew] ]
kitchen_and_dining,cook_time,ለዶሮ ወጥ የሚሆን ግምታዊ የማብሰያ ጊዜ ስንት ነው።,What is the approximate cooking time for Chicken stew,amh,41:53:SL:DISH_OR_FOOD,[IN:cook_time [SL:DISH_OR_FOOD Chicken stew] ]
utility,make_call,ወደ እናቴ ስልክ ደውል,make a call to my mother,amh,,[IN:make_call ]
utility,alarm,ለፈተናዬ ለመቀስቀስ ለነገ ጥዋት አላርም ሙላ,Set an alarm for tomorrow morning to wake me up for my exam,amh,17:33:SL:DATE,[IN:alarm [SL:DATE tomorrow morning] ]
kitchen_and_dining,restaurant_reviews,የኢትዮጵያን ምግብ በአዲስ አበባ የሚያዘጋጅ ምርጥ ምግብ ቤት አግኝና ንገረኝ።,find and tell me best resturant that prepare Ethiopian cuisine in Addis Ababa.,amh,66:77:SL:CITY_OR_PROVINCE,[IN:restaurant_reviews [SL:CITY_OR_PROVINCE Addis Ababa] ]
travel,plug_type,ወደ ዱባይ ለመጓዝ አቅጃለሁ ስለዚህ ለስልኬ ሶኬት መቀየሪያ ያስፈልገኛል? እዚያ ምን ዓይነት መሰኪያ ዓይነቶች መደበኛ ናቸው?,I'm planning a trip to Dubai. Will I require a socket converter for my phone? What plug types are standard there?,amh,23:28:SL:CITY_OR_PROVINCE,[IN:plug_type [SL:CITY_OR_PROVINCE Dubai] ]
travel,exchange_rate,የአሜሪካ ዶላር እና የኢትዮጵያ ብር የቅርብ ጊዜ ምንዛሪ ዋጋ ልሰጠኝ ትችላለህ?,can you give me the latest exchange rate between the US dollar and Ethiopian Birr?,amh,"53:62:SL:CURRENCY,67:81:SL:CURRENCY",[IN:exchange_rate [SL:CURRENCY US dollar] [SL:CURRENCY Ethiopian Birr] ]
banking,pin_change,የኢትዬጲያ ንግድ ባንክ መለያ ፒን ለመቀየር በቅደም ተከተል መመሪያ ስጠኝ።,provide step-by-step instructions to me on changing the PIN for my COMMERCIAL BANK OF ETHIOPIA account.,amh,67:94:SL:BANK_NAME,[IN:pin_change [SL:BANK_NAME COMMERCIAL BANK OF ETHIOPIA] ]
kitchen_and_dining,ingredients_list,ገንፎ ለማዘጋጀት የሚያስፈልጉትን ነገሮች ዘርዝር,list the items required for preparing a Porridge,amh,40:48:SL:DISH_OR_FOOD,[IN:ingredients_list [SL:DISH_OR_FOOD Porridge] ]
travel,book_hotel,ከመስከረም 1 እስከ 10 ባሉት ቀናት በአርባምንጭ ነጭሳር ፓርክ አቅራቢያ የሚገኝ አልጋ ያለው ሆቴል ፈልግ,find me a hotel in Arbaminch with a bed available near Nechisar Park for the dates September 1 to 10.,amh,"19:28:SL:CITY_OR_PROVINCE,55:68:SL:PLACE_NAME,83:100:SL:DATE",[IN:book_hotel [SL:CITY_OR_PROVINCE Arbaminch] [SL:PLACE_NAME Nechisar Park] [SL:DATE September 1 to 10] ]
utility,weather,በዚህ ሰአት በአዲስ አበባ ምን አዲስ የአየር ሁኔታ አለ,what is the latest weather update in Addis Ababa at this moment,amh,37:48:SL:CITY_OR_PROVINCE,[IN:weather [SL:CITY_OR_PROVINCE Addis Ababa] ]
banking,min_payment,ዛሬ ለቤቴ ብድር ስለሚከፈለው አነስተኛ ክፍያ መረጃ መስጠት ይችላሉ?,can you provide information on the minimum payment due for my house loan today?,amh,"62:72:SL:BILL_TYPE,73:78:SL:DATE",[IN:min_payment [SL:BILL_TYPE house loan] [SL:DATE today] ]
travel,international_visa,ወደ ዱባይ ለመጓዝ አለምአቀፍ ቪዛ ካስፈለገኝ ማረጋገጥ ትችላለህ?,can you check if I need an international visa for a trip to Dubai?,amh,60:65:SL:CITY_OR_PROVINCE,[IN:international_visa [SL:CITY_OR_PROVINCE Dubai] ]
banking,interest_rate,አሁን በባንክ ሂሳቤ ላይ ያለኝ የወለድ መጠን ምን ያህል እንደሆነ ንገረኝ።,tell me what is my current interest rate is on my banking account,amh,,[IN:interest_rate ]
travel,book_flight,በቀጥታ መስመሮች ወደ ኦስትሪያ የሚሄዱ ምርጥ በረራዎችን እንዳገኝ ልትረዳኝ ትችላለህ,can you help me find the best flights to Austria with direct routes,amh,41:48:SL:COUNTRY,[IN:book_flight [SL:COUNTRY Austria] ]
utility,text,ሱቁ መዘጋቱን ለእናቴ ለማሳወቅ ጽሁፍ መላክ ትችላለህ,could you send a text to my mother letting her know that the shop is closed,amh,,[IN:text ]
banking,bill_balance,አሁን ያለብኝን የውሃ እና የመብራት ሂሳቤን መጠን ማሳወቅ ትችላለህ?,can you let me know the current amount I owe for my water and electricity bills?,amh,52:57:SL:BILL_TYPE,[IN:bill_balance [SL:BILL_TYPE water] ]
utility,share_location,አሁን ያለሁበትን ቦታ ለጓደኞቼ እንድልክ ልትረዳኝ ትችላለህ?,can you help me send my current location to my friends?,amh,,[IN:share_location ]
home,play_music,ከ ሚስቴ ጋር ጥሩ ምሽት ማሳለፍ ስለምፈልግ የቴዲ አፍሮን የፍቅር ሙዚቃ አጫውት,"I want to spend a good night with my wife, so play the love music of Teddy Afro",amh,"55:65:SL:MUSIC_GENRE,69:79:SL:ARTIST_NAME",[IN:play_music [SL:MUSIC_GENRE love music] [SL:ARTIST_NAME Teddy Afro] ]
home,calendar_update,የቀን መቁጠሪያዬን ማስተካከል እፈልጋለሁ ስለዚህ ስለሚመጡት ቀጠሮዎች ወይም ተግባራት ልታሳውቀኝ ትችላለህ ?,I want to update my calendar; could you inform me about any upcoming appointments or tasks?,amh,,[IN:calendar_update ]
home,update_playlist,አዲስ ሙዚቃ ለማዳመጥ ፍላጎት አለኝ; አዲስ ሙዚቃ ወደ አጫዋች ዝርዝሬ ማስገባት ትችላለህ?,I'm in the mood for listen new music; could you insert new music's to my playlist?,amh,,[IN:update_playlist ]
kitchen_and_dining,cancel_reservation,እባኮትን በቶቶት ሆቴል የመመገቢያ ቦታዬን ሰርዝ። በሚያሳዝን ሁኔታ፣ እንደታቀደው ማድረግ አልችልም።,"Please cancel my dining reservation at Totot Hotel; unfortunately, I won't be able to make it as planned to",amh,39:50:SL:HOTEL_NAME,[IN:cancel_reservation [SL:HOTEL_NAME Totot Hotel] ]
travel,car_rental,ከአዲስ አበባ ወደ አርባ ምንጭ የመሄድ እቅድ አለኝ ስለዚህ የመኪና ኪራይ መኖሩን እና የዋጋ መረጃዉን መስጠት ትችላለህ?,i have Planning a car rental from Addis Ababa to Arba Minch. Can you provide information on availability and pricing?,amh,"34:45:SL:CITY_OR_PROVINCE,49:59:SL:CITY_OR_PROVINCE",[IN:car_rental [SL:CITY_OR_PROVINCE Addis Ababa] [SL:CITY_OR_PROVINCE Arba Minch] ]
kitchen_and_dining,meal_suggestion,ትክክለኛውን የኢትዮጵያ ምግብ ጣዕም ለመሞከር ምርጥ የኢትዮጵያ ምግብ ምንድነው?,What's the best Ethiopian dish to try for an authentic taste of Ethiopian cuisine?,amh,,[IN:meal_suggestion ]
kitchen_and_dining,recipe,ለቁርስ ፈጣን እና ቀላል የምግብ አሰራር ምንድነው?,what's a quick and easy recipe for breakfast,amh,35:44:SL:MEAL_PERIOD,[IN:recipe [SL:MEAL_PERIOD breakfast] ]
travel,translate,በኦሮምኛ ዉሃ ለማለት ምንድን ነው የሚባለው?,"How do I say ""water"" in Tigrigna?",amh,24:32:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Tigrigna] ]
banking,transfer,ከዳሽን ባንክ አካዉንቴ 500 ብር ለጓደኛዬ መላክ እፈልጋለሁ?,I want to send 500 birr from my dashin bank ,amh,"15:23:SL:MONEY,32:43:SL:BANK_NAME",[IN:transfer [SL:MONEY 500 birr] [SL:BANK_NAME dashin bank] ]
utility,time,አሁን ኢትዮጲያ ሰአቱ ስንት ነው?,what time is it in Ethiopia?,amh,19:27:SL:COUNTRY,[IN:time [SL:COUNTRY Ethiopia] ]
home,shopping_list_update,የአስቤዛ ዝርዝሩ ውስጥ ጤፍ ጨምርበት?,add teff to my grocery list.,amh,4:8:SL:DISH_OR_FOOD,[IN:shopping_list_update [SL:DISH_OR_FOOD teff] ]
kitchen_and_dining,restaurant_reservation,ራስ ሆቴል ደዉልና ለመስከረም 1 አዲስ አመት ቀን ቦታ አስይዝ? ,call ras hotel and reserve for september 1.,amh,"5:14:SL:HOTEL_NAME,31:42:SL:DATE",[IN:restaurant_reservation [SL:HOTEL_NAME ras hotel] [SL:DATE september 1] ]
banking,balance,አዋሽ ባንኬ ዉስጥ ስንት ብር እንዳለኝ አሳውቀኝ?,check and tell me how much money I have on my bank account.,amh,,[IN:balance ]
kitchen_and_dining,confirm_reservation,አክሱም ሆቴል ትናንት ደውዬ የያዝኩት አልጋ እንዳልተያዘ አረጋግጥልኝ? ,check if the room I call and reserved yesterday at aksum hotel.,amh,"38:47:SL:DATE,51:62:SL:HOTEL_NAME",[IN:confirm_reservation [SL:DATE yesterday] [SL:HOTEL_NAME aksum hotel] ]
banking,freeze_account,ንግድ ባንክ ያለኝን ብር ማንቀሳቀስ አትችልም የሚለኝ ለምንድን ነው?,why is it saying that my CBE account is frozen?,amh,25:28:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME CBE] ]
travel,timezone,አዲስ አበባ እና ዱባይ የስንት ሰአት ልዩነት ነው ያላቸው?,what is the time difference between Addis Ababa and Dubai?,amh,"36:47:SL:CITY_OR_PROVINCE,52:57:SL:CITY_OR_PROVINCE",[IN:timezone [SL:CITY_OR_PROVINCE Addis Ababa] [SL:CITY_OR_PROVINCE Dubai] ]
banking,transactions,ይህን ክፍያ በምን በምን አማራጮች መክፈል እችላለሁ?,what other option can i use to make this payment?,amh,,[IN:transactions ]
kitchen_and_dining,restaurant_suggestion,ቦሌ አካባቢ ቆንጆ ክትፎ ቤት ጠቁመኝ?,Suggest me a good restaurant that make Kitfo?,amh,39:44:SL:DISH_OR_FOOD,[IN:restaurant_suggestion [SL:DISH_OR_FOOD Kitfo] ]
banking,pay_bill,የመብራት ክፍያ በስልኬ መክፈል እችላለሁ?,Can i pay my electric bill with my phone?,amh,13:26:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE electric bill] ]
banking,spending_history,ከቴሌ ብር አካዉንቴ ገንዘብ ለማን ለማን እንደላኩ ዝርዝሩን አሳየኝ?,Show me history of my telebirr transfers ?,amh,22:30:SL:PAYMENT_COMPANY,[IN:spending_history [SL:PAYMENT_COMPANY telebirr] ]
