intent,text,domain,spans,logical_form,split
ingredients_list,chicken noodle casserole is made from what,clinc,,[SL: ingredients_list],train
ingredients_list,tell me what ingredients i will need to make this meal,clinc,,[SL: ingredients_list],train
ingredients_list,what are the ingredients of spaghetti,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients are present in marshmallows,clinc,,[SL: ingredients_list],train
ingredients_list,tell me the ingredients in pizza,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients are found in hunan chicken,clinc,,[SL: ingredients_list],train
ingredients_list,i need to know the ingredients in a hamburger,clinc,,[SL: ingredients_list],train
ingredients_list,show me the ingredients that i need for ceviche,clinc,,[SL: ingredients_list],train
ingredients_list,do you have a list of ingredients that i'll need for blondies,clinc,,[SL: ingredients_list],train
ingredients_list,give me a list of ingredients needed for pizza dough,clinc,,[SL: ingredients_list],train
ingredients_list,tell me what ingredients i need for carne asada,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients are required for chicken noodle soup,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients are in salsa,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients are in cheese cake,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients are in sugar cookies,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients are in spinach dip,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients are in coffee cakes,clinc,,[SL: ingredients_list],train
ingredients_list,what ingredients do i need to make egg salad,clinc,,[SL: ingredients_list],train
